Date	Close	Open	High	Volume	macd	macd_h	macd_s	trading_signal
2022-06-07	238.8866729736328	234.0	239.99667358398438	72808500	-12.797564602270768	3.4724473451264544	-16.270011947397222	0
2022-06-08	241.86666870117188	240.086669921875	249.9633331298828	76210500	-11.897840758750107	3.4977369509176928	-15.3955777096678	0
2022-06-09	239.7066650390625	249.33999633789062	255.54666137695312	96491400	-11.229648971103018	3.332742990851827	-14.562391961954845	0
2022-06-10	232.22999572753906	235.1566619873047	239.5	97536600	-11.174593139864555	2.710239057672233	-13.884832197536788	0
2022-06-13	215.73666381835938	223.1666717529297	226.63333129882812	102767400	-12.319819827348823	1.2520098961503727	-13.571829723499196	0
2022-06-14	220.88999938964844	218.2866668701172	226.3300018310547	97988700	-12.665588100148511	0.7249932986805483	-13.39058139882906	0
2022-06-15	233.0	220.9166717529297	235.663330078125	119131800	-11.826112047525953	1.2515754810424866	-13.07768752856844	0
2022-06-16	213.10000610351562	222.73666381835938	225.1666717529297	107390700	-12.621096282398469	0.36527299693597826	-12.986369279334447	0
2022-06-17	216.75999450683594	213.43333435058594	220.97000122070312	92641800	-12.80815213472718	0.14257371568581512	-12.950725850412995	0
2022-06-21	237.0366668701172	224.60333251953125	243.57666015625	122793000	-11.191231692218935	1.4075953265552492	-12.598827018774184	0
2022-06-22	236.086669921875	234.50332641601562	246.8333282470703	101107500	-9.872661510145264	2.1809324069031373	-12.053593917048401	0
2022-06-23	235.07000732421875	237.9066619873047	239.31666564941406	104202600	-8.808186030440254	2.5963263092865176	-11.404512339726772	0
2022-06-24	245.7066650390625	237.47000122070312	246.06666564941406	95770800	-7.02530877386971	3.5033628526856493	-10.52867162655536	0
2022-06-27	244.9199981689453	249.36666870117188	252.07000732421875	89178300	-5.611161171906446	3.9340083637191317	-9.545169535625577	0
2022-06-28	232.663330078125	244.48333740234375	249.97000122070312	90391200	-5.417005819528811	3.3025309728774133	-8.719536792406224	0
2022-06-29	228.49000549316406	230.5	231.17333984375	82897200	-5.536072324363403	2.5467715744342563	-8.082843898797659	0
2022-06-30	224.47332763671875	224.50999450683594	229.4566650390625	94600500	-5.886687650609929	1.7569249985501845	-7.643612649160113	0
2022-07-01	227.26333618164062	227.0	230.22999572753906	74460300	-5.871736724278151	1.417500739905571	-7.289237464183722	0
2022-07-05	233.06666564941406	223.0	233.14666748046875	84581100	-5.3301649956855215	1.5672579747985607	-6.897422970484082	0
2022-07-06	231.73333740234375	230.77999877929688	234.56333923339844	71853600	-4.951476407572272	1.556757250329449	-6.508233657901721	0
2022-07-07	244.5433349609375	233.9199981689453	245.3633270263672	81930600	-3.5764758406148474	2.3454062538295	-5.9218820944443475	0
2022-07-08	250.76333618164062	242.3333282470703	254.97999572753906	101854200	-1.9622562011406899	3.167700714642926	-5.129956915783616	0
2022-07-11	234.3433380126953	252.10333251953125	253.06333923339844	99241200	-1.985049714162102	2.515925761297212	-4.500975475459314	0
2022-07-12	233.07000732421875	236.84666442871094	239.77333068847656	87930900	-2.081862467727859	1.935290406185164	-4.017152873913023	0
2022-07-13	237.0399932861328	225.5	242.05999755859375	97954500	-1.8172939504232204	1.7598871387918424	-3.577181089215063	0
2022-07-14	238.31333923339844	234.89666748046875	238.65333557128906	78557400	-1.48772356699331	1.6715660177774025	-3.1592895847707125	0
2022-07-15	240.06666564941406	240.0	243.6233367919922	69683100	-1.0726925431766858	1.6692776332752213	-2.741970176451907	0
2022-07-18	240.54666137695312	244.93666076660156	250.51666259765625	82537500	-0.6970111127112091	1.6359672509925587	-2.3329783637037678	0
2022-07-19	245.52999877929688	245.0	247.13999938964844	80890200	0.002800525734585335	1.8686231115506826	-1.8658225858160973	0
2022-07-20	247.5	246.78334045410156	250.663330078125	88864200	0.7082051771572253	2.059222210378658	-1.3510170332214329	0
2022-07-21	271.7066650390625	255.10667419433594	273.26666259765625	142032300	3.183817939340514	3.627867978049558	-0.4440500387090436	0
2022-07-22	272.24334716796875	276.2200012207031	280.78668212890625	103472700	5.129930011854526	4.459184040450856	0.6707459714036704	0
2022-07-25	268.4333190917969	272.2166748046875	274.14666748046875	64073400	6.292267088097077	4.497216893354725	1.7950501947423518	0
2022-07-26	258.8599853515625	266.5133361816406	267.30999755859375	66820800	6.367538549315725	3.6579906836586984	2.7095478656570267	0
2022-07-27	274.82000732421875	263.80999755859375	275.9266662597656	88110000	7.6271115204616535	3.9340509238437016	3.693060596617952	0
2022-07-28	280.8999938964844	280.0666809082031	283.29998779296875	84723000	9.012050964925294	4.255192294645873	4.756858670279421	0
2022-07-29	297.1499938964844	280.70001220703125	298.32000732421875	95313000	11.29071234204153	5.227082937409687	6.063629404631843	0
